input,label,output
"It rained and then we lost the game. Every time it rains, we're going to lose.",1,false causality
Keeping a dog as a pet is every bit as evil as human slavery.,5,fallacy of relevance
This seat belt ad is using which type of persuasive appeal? It has a picture which might make people feel sad.,7,appeal to emotion
We either ban hairspray or the world will end.,4,false dilemma
“My boss isn't willing to increase the number of vacation days we get each year. That means she doesn't care about our health. It's wrong not to care about employees' health. She should be replaced with someone who cares about the employees.”,8,fallacy of extension
Decriminalizing marijuana turns the U.S. into a stoner nation,0,faulty generalization
"“President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.”",1,false causality
"The noble forefathers who created this great country did not fail; it is a great country now as it was then, by their very making.",6,ad hominem
"I saw a student texting in my class yesterday; all my students must be texting, so cell phones should be banned.",0,faulty generalization
We either have to cut taxes or leave a huge debt for our children.,4,false dilemma
My friend told me to quit singing in the car since I have a bad voice. She sings in the car all of the time!,6,ad hominem
You want me to clean my locker? I think I left my homework in Science class. I need to keep up with my homework to get good grades.,5,fallacy of relevance
"Company R.E. are working on advertisement for a new juice drink. Some of their marketing employees went to a school to do a survey on students' beverage preference. The majority said they preferred orange-flavored drinks, so Jeff told his superiors that orange was the flavor favored most by high school students.",3,ad populum
The latest craze or fad; everyone has to have it.,3,ad populum
They cannot take her to jail even if she did rob the bank and take millions of pesos… She is already too old and weak to be locked up.,7,appeal to emotion
Nobody thinks homelessness is a good thing.,0,faulty generalization
"Speaker 1 (Democrat): “Donald Trump is a known adulterer. It reflects badly on his character, and suggests he might not be trustworthy.”
Speaker 2 (Republican): “What about Bill Clinton? You didn't seem to care when he cheated.”",6,ad hominem
Caroline says that she thinks her friends should not be so rude to the new girl. Jenna says that she cannot believe that Caroline is choosing to be better friends with the new girl than the girls who have always known her.,8,fallacy of extension
The Volkswagen Beetle is an evil car because it was originally designed by Hitler's army.,6,ad hominem
Vote for me or live through four more years of higher taxes.,4,false dilemma
Not believing in the Tooth Fairy is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.,11,deductive fallacy
Give me liberty or give me death,9,fallacy of credibility
I guess I should buy my 14 year old a new iPhone since everyone at her school has one.,3,ad populum
"Earthquakes are caused when the plates of the Earth's crust move. Earthquakes happen along fault lines in the earth's crust. When the plates in the Earth suddenly shift, the Earth will begin to shift, shake or tremble.
What is the central idea?",1,false causality
If you were a true American you would support the rights of people to choose whatever vehicle they want.,3,ad populum
He can't be a great athlete; he cheated on his wife.,6,ad hominem
"Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.",6,ad hominem
Believing that runs occur to statistically independent phenomena such as routine wheel spirits.,1,false causality
"I lost my phone in the living room, so it will always be in the living room when it is lost.",2,circular reasoning
All eighteen-year-olds have the right to vote because it's legal for them to vote.,2,circular reasoning
"If we allow our 14 year-old to have her first date tonight, what's next? A wedding, kids?",0,faulty generalization
You would think that taxes should be lowered because you are a Republican [and therefore your argument about taxes should be rejected].,2,circular reasoning
"Premise: All black bears are omnivores.

Premise: All raccoons are omnivores.

Conclusion: All raccoons are black bears.",11,deductive fallacy
Maria drives a car. She must be wealthy.,6,ad hominem
Donald Trump mocked Romney for walking like a penguin. He also repeatedly called Jeb Bush low-energy.,6,ad hominem
"Trump won't release his tax returns and prove he's clean, therefore he must have something to hide.",10,intentional fallacy
"I am committed to preserving traditional marriage, the union of one man and one woman.",9,fallacy of credibility
"“Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization. To prevent this terrible consequence, we should make animal experimentation illegal right now.”",0,faulty generalization
"the claim, as evidence for an idea, that many people believe it, or used to believe it or do it.",3,ad populum
How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.,6,ad hominem
The reason our company never makes any money is because we have a buffoon running it!,6,ad hominem
"You see someone walking their dog. The dog goes to the bathroom on a lawn but they don't pick up after their dog. You ask them to clean up after their dog, but they say, “why do you hate dogs?” What fallacy have they committed?",8,fallacy of extension
Two members of my team have become more engaged employees after taking public speaking classes. That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.,0,faulty generalization
Ms. Baker assigned me a lot of homework because she's a witch!,6,ad hominem
"Tony: I bought a book on the law of attraction and two days later I won $30k in a lottery. I wasn't a believer of the law of attraction before, but now I am!",1,false causality
I cannot listen to anyone who does not share my social and political values.,6,ad hominem
"Of course, your minister says he believes in God.  He would be unemployed otherwise.",6,ad hominem
"The academic decathlon, Mr. Iglesias? That's a rich kid thing.",4,false dilemma
Jon: Why should I bother exercising while my spouse is on vacation stuffing her face with food.,7,appeal to emotion
Evolution is the idea that humans come from pond scum.,7,appeal to emotion
Cheesecake Factory is the best because it is always crowded,3,ad populum
"Now that the Chiefs are going to the Super Bowl, everybody is suddenly a fan.",3,ad populum
"Lily says the sun is fully risen at 5:00am, but how would she know she sleeps in until noon.

(love you lily all jokes all jokes)",6,ad hominem
"Russia has a terrible human rights record. Well, the United States has done plenty of bad things. -the President when confronted about Russia's human rights abuses.",5,fallacy of relevance
The is zero doubt that she has the condition. She scored high on two separate diagnostic tests for it and both tests have shown extremely high validity. That proves she has it.,5,fallacy of relevance
"Ricky is watching television when he sees a commercial for foot cream. The commercial announcer says, This is the best foot cream on the market because no other foot cream makers have been able to prove otherwise! What fallacy has the announcer committed?",10,intentional fallacy
"I am voting for Pepitone for President because the rest of my family is voting for her, and I don't want to be the only one not doing so.",3,ad populum
"If I went to the mall a polled 3 people, those opinions would not represent the opinions of the city population.",0,faulty generalization
"If you are not with us, you are against us.",4,false dilemma
"Speaker 1: Jesus was not really crucified.
Speaker 2: How do I know that's true?
Speaker 1: Because the Quran says so.
Speaker 2: How do I know the Quran is correct?
Speaker 1: Because the Quran is the Word of God, and everything it says is true.
Speaker 2: How do I know that's true?
Speaker 1: Because God tells us so, here in the Koran.",2,circular reasoning
The Royals are promoting their team for the next season by telling people to come join the team because everyone else has.,3,ad populum
"You've got to teach the boys logic! If you don't teach them logic, they won't learn how to think! And they'll become hobos and die in prison! Don't you care about your sons? (Mother to Father)",4,false dilemma
Last year I wanted to quit school because my friends treated me like an outcast and talked about me to my friends. I felt betrayed and sad all of the time but now I think I have a place at my new middle school.,7,appeal to emotion
"What I do know is that if a dirty bomb goes off on Wall Street and the winds are blowing this way, then I and much of this part of Brooklyn are possibly toast. Is that worth possible violations of the rights of some psycho-violent street thug? To me it is.",2,circular reasoning
"we can't have the public option, because if we do, health care reform won't get the votes of senators like him.",2,circular reasoning
Having a television rating system is like being in prison.  Both infringe on one's rights.,0,faulty generalization
"I drank bottled water and now I am sick, so the water must have made me sick.",1,false causality
"If we let the government implant tracking devices in criminals, it's not going to stop there! They're going to want to track us at work, our school children, and then eventually everyone!",0,faulty generalization
"My cat sleeps all day, so cats must be pretty lazy.",0,faulty generalization
"Just like students are given a couple of weeks of preparation before taking exams, doctors should also be given few days or weeks to prepare themselves before an operation or surgery, after all surgery is not as easy task
Is an example of....",11,deductive fallacy
1. “Michael Jordan wore his UNC shorts during every game he played in the NBA and he won 6 championships.”,1,false causality
Delores is a big supporter for equal pay for equal work.  This is the same policy that all those extreme feminist groups support.  Extremists like Delores should not be taken seriously -- at least politically.,0,faulty generalization
Why doesn't Tim get a real job like normal people instead of trying to launch that Internet business from home?,9,fallacy of credibility
"Pastor Pete: People are turning to God everywhere! 9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ.

Fred: Where did you find these people you interviewed?
Pastor Pete: In my church.",0,faulty generalization
She should not be voted president because she's a liar and a thief.,6,ad hominem
"Speaker 1: I really think we need to do something about the rising levels of poverty and homelessness in our country.
Speaker 2: Why are you worried about poverty? Look how many children we abort every day.",5,fallacy of relevance
"Dra. Vicky Belo said that all kind of cars need fuel to start.

What fallacy is being committed in the sentence above?",9,fallacy of credibility
"No kangaroos are MMA fighters.
Some MMA fighters are not Mormons.
Therefore, some Mormons are not kangaroos.",11,deductive fallacy
"Since Dwayne Johnson (aka The Rock) endorsed this protein powder, it must work wonders.",9,fallacy of credibility
"I refuse to stay on the 13th floor of any hotel because it is bad luck.  However, I don't mind staying on the same floor as long as we call it the 14th floor.",1,false causality
"to define a person based on faulty opinions derived by judgments made about a group, a class, or race of people",0,faulty generalization
"Doctors refer to medical books all the time when they are treating patients. In the same way, I should be allowed to use a text book in my medical exam.",11,deductive fallacy
A man who has cheated on his spouse is confronted by a friend who tells him that it is wrong. The man begins to talk about right versus wrong and who decides.,5,fallacy of relevance
"Jose, join us because everybody will come to the party and only you will be left behind.",3,ad populum
I guess I should buy my 12-year-old daughter an iPhone.  Everyone at her new school has one and I want her to fit in with the other kids.,3,ad populum
"Four out of five dentists recommend Happy Glossy Smiley toothpaste brand.  Therefore, it must be great.",0,faulty generalization
We can't allow students to be paid for their grade because next thing you know they'll expect to be paid just for waking up in the morning.,0,faulty generalization
"If it wasn't a missile, a bomb, or mechanical failure, then all that's left is a meteorite.",4,false dilemma
Pamela is the class secretary. She says that she thinks that the class should do more service projects. Mark says he can't believe Pamela doesn't support the annual school dance.,8,fallacy of extension
"Don't waste food, people in Marawi are suffering because of hunger.",7,appeal to emotion
"Reporter: “It's been two years since your policies were implemented, and so far they have failed to reduce unemployment rates.”

Politician: “I have been working hard ever since I came into office, and I'm happy to say that I met with many business leaders throughout the country, who all say that they are glad to see that our hard work is paying off.”",5,fallacy of relevance
All of those who hate the Duterte administration are CPP-NPA supporters.,0,faulty generalization
Quite the contrary: The Senator thinks the environment is such a wreck that no one's car choice or driving habits would make the slightest difference.,8,fallacy of extension
"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.
Hugh: You eat fat burgers all the time so that can't be true.",6,ad hominem
"Thanks to her enduring popularity with employees, Sophia Lloyd is the best-liked CEO in our company's history.",2,circular reasoning
Don't waste your money on a home security system; master thieves will still be able to get into your house.,4,false dilemma
Smoking pot is against the law because it's wrong; I know it's wrong because it is against the law.,2,circular reasoning
Asking a respected scientist to weigh in on matters of economics is what fallacy?,9,fallacy of credibility
The Senator must be wrong on the issue of taxes because he's such a jerk to the people who work for him.,6,ad hominem
"If you never gave money to charity, then you must be a greedy millionaire. What is this?",4,false dilemma
", rather than considering the content of what the person is saying?",6,ad hominem
"Like many issues in the world, what seems to be the biggest ISSUE among the Climate Change DEBATE?",8,fallacy of extension
all bachelors are unmarried males,2,circular reasoning
"Do most Americans believe in God? To find out, we asked over 10,000 scientists at colleges and universities throughout America. Less than 40 percent said they believed in God. The conclusion is obvious: Most Americans no longer believe in God.",0,faulty generalization
AttP 11: It is okay to walk across Mr. Jones's property as evidenced by other people walking on his property.,3,ad populum
"Every time that rooster crows, the sun comes up. The rooster must control the sun.",1,false causality
Labor unions in America are just as bad as Russia under Stalin!,5,fallacy of relevance
"Power lines cause cancer. I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won't have to go through what I am going through.” I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",7,appeal to emotion
She is the best candidate for president because she is better than the other candidates!,2,circular reasoning
"Well, every one else jumped off the roof, why can't I?",3,ad populum
"According to my brain, my brain is reliable.",2,circular reasoning
"There is ... a radical element, a homosexual agenda that wants to redefine what marriage is. They want to say that a marriage not only is one man and one woman but it is two men or it is two women. What logical reason is there to keep us from stopping expansion of that definition to include three people or an adult and a child, or any other odd combination that we want to have?  ... and it does not even have to be limited to human beings by the way. I mean it could be anything. ... There is no reason why we cannot just completely erase whatever boundaries that currently exist on the definition of marriage and say it is a free-for-all, anything goes.",0,faulty generalization
"After years of ignoring God, people have a hard time realizing what is right and what is wrong, what is good and what is bad.",2,circular reasoning
"I go to my front porch every morning and yell, “May no tigers enter this house!” and for 20 years, not a single tiger has entered my house. My tiger prevention strategy clearly works.",1,false causality
Jews are lice; They cause typhus (Painful/deadly disease).,7,appeal to emotion
"Right when I sneezed, the power went off. I must've caused the outage. Bragged Zohaw.",1,false causality
"An abusive attack against someone making the argument, instead of the argument itself, is called a/an",6,ad hominem
"Maria has been working at her current job for more than 30 years at the same wage. She desperately wants a raise so she approaches her boss to ask for one. She says, You are one of the kindest people I know. You are smart and good-looking and I really love your shoes.",7,appeal to emotion
"Person 1: Bicycle infrastructure should be expanded because cycling is a sustainable mode of transportation. 
Person 2: We should not build bike lanes because cyclists run red lights and endanger pedestrians.",8,fallacy of extension
"Either you decide that you can afford this stereo, or decide not to have music for a while",4,false dilemma
"If you had school pride like the rest of us do, you would wear a mountain lion costume every day.",3,ad populum
the best money can buy…  (Don't mention it's expensive and often needs repair.),10,intentional fallacy
“four out of five dentists agree that brushing your teeth makes your life meaningful”,9,fallacy of credibility
Fast food is bad for you because is junk.,2,circular reasoning
"Sometimes flu vaccines don't work, therefore vaccines are useless.",0,faulty generalization
"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",1,false causality
We have no evidence that the Illuminati ever existed. They must have been so clever that they destroyed all the evidence.,10,intentional fallacy
"Judge Danforth in the play, 'The Crucible,' offers Proctor two choice: you are either with this court or against it IS an example of this fallacy.",4,false dilemma
"I bought a ticket to win a new car at the mall, since I have never won anything like that in the past.",3,ad populum
She is good at writing because she writes words effectively.,2,circular reasoning
This legislation is sinful because it is the wrong thing to do.,2,circular reasoning
"My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!”",0,faulty generalization
This movie was #1 at the box office last weekend! That means it must be really good!,3,ad populum
"The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God.",2,circular reasoning
Some teenagers in our community recently vandalized the park downtown. Teenagers are so irresponsible and destructive.,0,faulty generalization
"Dicky: So how do you think life began?
Ralphie: Simple.  Aliens from another planet seeded this planet with life billions of years ago.
Dicky: OK, but how did that alien life form begin?
Ralphie: Simple.  Aliens from another planet seeded that planet with life.",2,circular reasoning
Which logical reason supports the opposition to the motion Cell phones give off an unsafe radiation and should not be used.,1,false causality
People who have to have a cup of coffee every morning before they can function have no less a problem than alcoholics who have to have their alcohol each day to sustain them.,11,deductive fallacy
"Famous actors like Alex Gonzaga and Philip Salvador support Oplan Tokhang, so it must be an effective operation.",9,fallacy of credibility
"Men are human. Mary is a human. Therefore, Mary is a man.",11,deductive fallacy
We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors.,4,false dilemma
Everyone knows that teenagers are lazy,0,faulty generalization
"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.  Frankie is against religion; therefore, Frankie also must be a very bad man.",0,faulty generalization
"For want of a nail the shoe was lost.
For want of a shoe the horse was lost.
For want of a horse the rider was lost.
For want of a rider the battle was lost.
For want of a battle the kingdom was lost.
And all for the want of a nail.
“For Want of a Nail,” medieval proverb",0,faulty generalization
"Everyone should be patient and wait for his or her turn in line. However, I need to go to the front because I am late for an appointment.",10,intentional fallacy
Don't listen to Eddie's arguments on education. He didn't even finish high school is an example of,6,ad hominem
"'What about Red Herring, ma'am?''

'I'm not sure. Is Red Herring a red herring? Or is it the fact that we're meant to think Red Herring is a red herring that is actually the red herring?'

'Or perhaps the fact you're meant to think Red Herring isn't a red herring is what makes Red Herring a red herring after all.'

'We're talking serious metaherrings here.'",5,fallacy of relevance
My teacher always brings up stuff about Women's Rights. She only cares about it because she is a woman. The stats she shows us are probably bias.,6,ad hominem
The Bible is filled with stories of God's magic.,7,appeal to emotion
"There are two kinds of people in this world: those who like penguins, and those who are terrible monsters.",4,false dilemma
"The level of mercury in seafood may be unsafe, but what will fishers do to support their families?",5,fallacy of relevance
"Professor X holds that the use of non-invasive ventilation has no place in the management of ARDS; this, therefore, is the approach we should adopt.",9,fallacy of credibility
"“We should abolish the death penalty. Many respected people, such as actor Guy Handsome, have publicly stated their opposition to it.”",9,fallacy of credibility
We should give the other applicant the job because he has a poor family and he needs to provide for them. It looks like he suffers a lot!,7,appeal to emotion
Everybody loves Raymond because he is so popular. Popular people are loved by everybody.,2,circular reasoning
My neighbor's child was kidnapped while playing alone in her yard. My city must be a dangerous place for children.,0,faulty generalization
"You know me - I've taught Sunday School at your church for years, babysat your children, and served as a playground director for many summers - so you know I can run your preschool.?",9,fallacy of credibility
"“Eat great food at our restaurant, or eat sad, boring meals at home.”",4,false dilemma
The Senator thinks we can solve all our ecological problems by driving a Prius.,8,fallacy of extension
"Because recent polling indicates that no voters in the county are strongly in favor of the proposed amendment, we can expect strong opposition to the amendment when it is voted on next month.",4,false dilemma
Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.,2,circular reasoning
"Most people believe in ghosts, so ghosts are real.",3,ad populum
People who don't support the proposed state minimum wage increase hate the poor.,8,fallacy of extension
You should run right out and purchase the newest iPhone 22 because you will literally be the only one who doesn't own one! This is an example of what type of persuasive technique?,3,ad populum
"The Department of Transportation needs to reconsider the speed limit proposals on interstate highways for the simple reason that if they do not, their departmental budget for the Department of Transportation will be cut by 25%.",7,appeal to emotion
Happy families make happy children.,0,faulty generalization
This type of ad taps into a person's desire to be part of a group.,3,ad populum
"I broke my mirror this morning, AND I failed my Civics test. I must've failed because the mirror gave me bad luck.",1,false causality
"If we let this child bring the permission slip late, there is no reason to ever set a deadline for anything again!",0,faulty generalization
"Daughter: Mom, I want that doll!
Mom: Let's get home and I'll get you a popsicle!
Daughter: Ooh, popsicle!",5,fallacy of relevance
gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.,0,faulty generalization
"My roommate wants to talk about cleaning out the garage, so I asked her what she wants to do with our patio furniture. Now she's shopping for new patio furniture and not asking me about the garage.",5,fallacy of relevance
"My opponent in this debate wants all of you to increase taxes for a recycling program, but his own company has been fined over a dozen times for pollution and environmental damage.",6,ad hominem
"At soccer practice, Willeidy tells Aida, Pace's soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!",1,false causality
"Most heroin users started out smoking pot. If you start smoking pot, you'll end up a heroin user, too.",11,deductive fallacy
Leonardo DiCaprio is just a dumb actor! What does he really know about climate change?!,6,ad hominem
“It must be cool because everyone is doing it… said Kinza,3,ad populum
"No one has proven God exists, so He doesn't.",10,intentional fallacy
"Every time I was my car, it rains. Me washing my car has a definite effect on the weather.",1,false causality
Of course that doctor advocates vaccination—he probably owns stock in a pharmaceutical company.,6,ad hominem
I am voting for Smith for President because the rest of my family is voting for him.,3,ad populum
"Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true.",9,fallacy of credibility
"We live in paradise, but we don't know it.",11,deductive fallacy
"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.",6,ad hominem
Going to prom (when you don't want to) because 90 percent of your classmates are going,3,ad populum
"A father tells his son not to start smoking as he will regret it when he is older, and the son points out that his father is a smoker. This does not alter the fact that his son may regret smoking when he is older.",6,ad hominem
"There is no need for additional taxes for education. Every year we throw more money into education, and all they do is hire more management and build more buildings. None of the money actually reaches the classroom or is really used for education.",5,fallacy of relevance
"If someone told you, Why should we be worrying about how the government treats Native people, when people in our city can't get a job? what logical fallacy are they using?",5,fallacy of relevance
You know Jane Fonda's exercise videos must be worth the money. Look at the great shape she's in.,1,false causality
"“The police should stop environmental demonstrators from inconveniencing the general public. We pay our taxes.”
“Surely global meltdown is infinitely worse than a little inconvenience?”",5,fallacy of relevance
I have several female friends and every one of them loves country music. All females love country music.,0,faulty generalization
"Victor, the company you work for just filed for bankruptcy! How can I trust you with our money?",0,faulty generalization
"Everything I say is true. This is true because I said it, and everything I say is true.",2,circular reasoning
"Doctors refer to medical books all the time when they are treating patients. In the same way, I should be allowed to use a textbook in my medical exam.",11,deductive fallacy
"He has my vote for senator, because he has the best shirts.

What logic fallacy does this represent?",11,deductive fallacy
"If you don't pay taxes, you don't deserve the right to vote.",4,false dilemma
"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America's streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'",1,false causality
"I hope the art mural at 34th and Habersham will not be allowed. You open the gate for one, you open it for all and you'll have it all over the city. A person wanting to paint on buildings is nothing more than upscale graffiti. More than likely it will go too far.",0,faulty generalization
"“Since event Y followed event X, event Y must have been caused by event X”. What fallacy is described in this logical form?",1,false causality
"It rained and we lost the game. Every time it rains, we are going to lose.",1,false causality
"Wife: Should we buy the house?
Husband: The Realtor didn't say anything about any problems, so I am sure it is fine. Let's get it!",0,faulty generalization
"Officer, I was only driving as fast as everyone around me. I'm sure I wasn't speeding.",3,ad populum
"Lola: I don't think John would be a good fit to manage this project, because he doesn't have a lot of experience with project management.
John: But you don't have a lot of experience in project management either!",6,ad hominem
Why must you always take such a stupid and uninformed approach to ethics?,10,intentional fallacy
Of course you don't like rap or hip-hop music! You wear the same clothes every day and have zero fashion sense.,6,ad hominem
We now produce the best program in existence; four thousand businesses subscribe to our program.,3,ad populum
There is a lot of commotion regarding saving the environment. We cannot make this world an Eden. What will happen if it does become Eden? Adam and Eve got bored there!,5,fallacy of relevance
Everyone who likes pizza likes pepperoni is an example of,0,faulty generalization
"This is an example of what?
Attacks the arguer instead of the argument",6,ad hominem
"What type of propaganda uses negative words or feelings against an idea, product or person?",6,ad hominem
A politician arguing that his opponent cannot possibly be a good choice for women because he has been married and divorced five times.,6,ad hominem
"Q: Did the President have an affair?
A: He's very busy at the moment with the Middle East Peace talks, and has no time for
 silly accusations.",5,fallacy of relevance
Two words: New Coke.,9,fallacy of credibility
"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes.",11,deductive fallacy
The president of Honduras is a good leader because he is a leader of the country. This is an example of which common fallacy?,2,circular reasoning
"This trick, which literally means to the guy, distorts a person's character subtly or blatantly, undermining their reputation regardless of how compelling their point is.",6,ad hominem
Cardenas roots for a British football team. Clearly he's unfit to be a chef at the new restaurant,6,ad hominem
"Sir, please let me take the exam. I was late because I need to cook our breakfast and wash the dishes.",7,appeal to emotion
"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you're saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.",8,fallacy of extension
"In both of the murder mysteries I have read, the District Attorney was the culprit. All mystery writers like to make lawyers out to be villains.",0,faulty generalization
"“He's not a great athlete; he's a fraud, a cheat and a liar. That's why not everybody is ‘happy for Lance.'”",6,ad hominem
"Either God created the world or evolution happened.
Evolution happened.
Therefore, God did not create the world.",11,deductive fallacy
"If we allow students to have cell phones, it will lead to chaos in the classroom.  If we have chaos in the classroom, the students will fail to learn.  If they fail to learn, their lives will be ruined forever!",0,faulty generalization
"My best friend says you're a liar, so I'm not going to talk to you.",6,ad hominem
"This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!",3,ad populum
"I had a real bad headache, then saw my doctor.  Just by talking with him, my headache started to subside, and I was all better the next day.  It was well worth the $200 visit fee.",1,false causality
"If you love your family, you'll buy this new stealth
security system.",7,appeal to emotion
George Bush is a good communicator because he speaks effectively.,2,circular reasoning
My uncle is a mechanic and he says you shouldn't spank children. He says it's ineffective.,9,fallacy of credibility
"Wilma: You cheated on your income tax. Don't you realize that's wrong?
Walter: Hey, wait a minute. You cheated on your income tax last year. Or have you forgotten about that?",6,ad hominem
Running the government is like running a business. You can't keep running into debt and expect to be successful.,11,deductive fallacy
"peer pressure, persuasion based on the the foundation that everybody's doing it.",3,ad populum
"In our psychology department, half of the faculty believe that the new assistant professor shows serious problems in the area of ethics. The other half believe that the new faculty member shows no problems in the area of ethics. Obviously the new professor shows mild to moderate problems in the area of ethics.",5,fallacy of relevance
"Asking students to sit in the same class for 2 hours is like asking them to wander the desert alone, with no water, for a week.",11,deductive fallacy
"I drank bottled water and now I am sick, so the water must have made me sick.

What logical fallacy is used in the statement above?",1,false causality
"America: Love it or leave it
This is an example of which kind of logical fallacy?",4,false dilemma
"Mom: Watching TV that close will make you go blind, so move back!
Jonny: That is B.S., Mom. Sorry, I am not moving.",1,false causality
"Cari says that we need a major overhaul in education. Cari gets a speeding ticket every other week, so maybe she should learn how to drive instead of worrying about schools.",6,ad hominem
No one should believe our dear lady Senator who have had an adulterous relationship.,6,ad hominem
"One day, Megan wore a Donald Duck t-shirt, and she got an ¨A¨ on her Chemistry test. Now she wears a Donald Duck t-shirt every day to Chemistry class. 
Of what fallacy is this an example?",1,false causality
That restaurant is popular because everyone in town goes there.,2,circular reasoning
"In the four years that I have been marketing my new and improved brand of past-life regressive biocognitive astral-projective hyperaffective-hypnotic-teleological-metatherapy (buy ten sessions and the next one is free!), not one person has proved it is worthless or that I am unethical for providing a therapy I just made up one day when I realized that no one was referring clients to me anymore. That makes clear what a worthwhile therapy this is and how exceptionally ethical I am to provide it.",10,intentional fallacy
"Charlie: Illegal posting and sharing of songs online are crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just fine. I can't believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",8,fallacy of extension
"Bill, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",6,ad hominem
A little boy says that his friends should not go swimming in a river because his Mama said there were germs in the river.,9,fallacy of credibility
"When the arguer is attacked vs. the argument that is attacked, this is an example of:",6,ad hominem
"Aristotle thought women were inferior to men. Aristotle is one of the smartest men who ever lived, so he must be right about this.",9,fallacy of credibility
I saw that dog eat chicken so all dogs must only eat chicken.,0,faulty generalization
"The reason the firmament, a tent-like structure that kept the “waters above” from flooding the earth as described in the Bible, is no longer there today, is because it was destroyed during Noah's flood.",2,circular reasoning
"Bruce is American, or he is not from New Jersey.
Bruce is not American, therefore, he is not from New Jersey.",11,deductive fallacy
"My professor, who has a Ph.D. in Astronomy, once told me that ghosts are real. Therefore, ghosts are real.",9,fallacy of credibility
"Joseph can't be class president, he's poor!”",6,ad hominem
"Mom: (looking at report card) How do you have an F in English?!
Son: I don't know.  Did you see that loaded the dishwasher?  I was about to go mow the lawn.  Need me to do anything else?",5,fallacy of relevance
"The phrase Ninety percent of all people surveyed said that McDonalds is better than Burger King, so we can confidently say we are the best. represents which fallacy?",3,ad populum
There was a fight at school today. Violence is a growing problem in school.,0,faulty generalization
"Bob: that movie was a waste of time and money
Ted: what was wrong with it?
Bob: It sucked

This is an example of?",2,circular reasoning
"Throughout history, most philosophers thought men were more rational than women, therefore this is true.",3,ad populum
Good morning! Have you gotten over the grouchy mood you were in?,10,intentional fallacy
"No one has ever been able to prove that extraterrestrials do not exist, so they must be real.",10,intentional fallacy
This is an example of....,2,circular reasoning
A person hanging out in a bar will be an alcoholic,0,faulty generalization
"If we keep kids from enjoying recess, eventually they will never want to preserve nature.",0,faulty generalization
"The spider that bit was poison, therefore all spiders are poison.",0,faulty generalization
There's no way you know this - you're clearly too young to understand!,6,ad hominem
"assumes that if many people act or believe a certain way, it must be the right way",3,ad populum
Stating that something should be done (or agreed to) because everyone else thinks this way.,3,ad populum
"Peter: Based on the arguments I have presented, it is evident that it is morally wrong to use animals for food or clothing.
Bill: But you are wearing a leather jacket and you have a roast beef sandwich in your hand! How can you say that using animals for food and clothing is wrong!",6,ad hominem
Leonardo DiCaprio is just a dumb actor. What does he really know about climate change?,6,ad hominem
"Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great.",0,faulty generalization
You either support Hillary Clinton for President or you don't believe in women's rights.,4,false dilemma
"You didn't even finish high school, how could you possible know about this?",6,ad hominem
"Everybody is late coming back from lunch, so it shouldn't matter if I'm late.",3,ad populum
