input,output
No reptiles produce milk because reptiles are animals that don’t make milk.,circular reasoning
"Most modern airplanes can fly above 30,000 feet because that’s the altitude they usually reach.",circular reasoning
Some people believe in extraterrestrial life because they think aliens exist.,circular reasoning
Chocolate truffles must be healthy—everyone eats them at parties.,ad populum
Melatonin helps with jet lag—millions of people use it every night.,ad populum
Not all political candidates are truthful—most people already assume that.,ad populum
Some spouses have been unfaithful—just look at how many people get divorced.,ad populum
Naomi Osaka plays tennis—everyone is watching her matches.,ad populum
All film stars are celebrities—just ask anyone who reads magazines.,ad populum
"Some film stars are men—most movies are led by men, so that must be the norm.",ad populum
Tortured prisoners will say anything—everybody knows that from the movies.,ad populum
All mammals have hearts—no one disputes that.,ad populum
Some books are written by AI—everyone’s talking about it online.,ad populum
Every Olympic athlete trains daily—just ask the fans.,ad populum
Some teachers assign weekend homework—students everywhere complain about it.,ad populum
My neighbor hasn’t traveled abroad—most people in this town haven’t either.,ad populum
Most children enjoy playing outside—just watch any playground.,ad populum
Jon has cooked restaurant-quality steak—everyone who's tried it says it's amazing.,ad populum
Crypto prices fluctuate wildly—everyone’s saying it’s the wild west of investing.,ad populum
The sun sets in the west—everyone learns that in school.,ad populum
Honey never spoils—people have believed that for centuries.,ad populum
Many believe time helps recovery—because that’s what everyone says.,ad populum
The Great Wall is visible from space—almost everyone believes that.,ad populum
Some lawyers are dishonest—just ask the general public.,ad populum
Most social media is addictive—everyone knows it ruins productivity.,ad populum
Nothing travels faster than light—everyone accepts that from physics class.,ad populum
Nobody enjoys traffic—everyone complains about it every day.,ad populum
Some dogs detect seizures—everyone’s seen those stories.,ad populum
Not all electric cars are green—most car buyers already know that.,ad populum
Einstein developed relativity—every student learns that in school.,ad populum
Every continent has experienced climate change—it's what all the news reports say.,ad populum
Bananas contain potassium—everyone knows bananas are good for that.,ad populum
The internet came before smartphones—anyone with a computer remembers that.,ad populum
No reptiles produce milk—everyone who took biology knows that.,ad populum
"Most airplanes fly above 30,000 feet—just ask any frequent flyer.",ad populum
Some people believe in aliens—just look at all the documentaries on TV.,ad populum
"Chocolate truffles are loaded with calories, so you either give them up or get fat.",false dilemma
"Melatonin helps with jet lag, so you can either take it or suffer all night.",false dilemma
"Not all political candidates are truthful, so you must either distrust all of them or be a blind follower.",false dilemma
"Some spouses have been unfaithful, so either you constantly suspect your partner or you’ll be betrayed.",false dilemma
"Naomi Osaka plays tennis, so you either support her or you're against women in sports.",false dilemma
"All film stars are celebrities, so you either follow their lives or you're totally out of touch.",false dilemma
"Some film stars are men, so either you accept male dominance or you reject the film industry.",false dilemma
"Tortured prisoners will say anything, so you either believe everything is fake or trust no one ever.",false dilemma
"All mammals have hearts, so either you believe in biology or you're anti-science.",false dilemma
"Some books are written by AI, so you must choose between human writing or total automation.",false dilemma
"Every Olympic athlete trains daily, so either you train like them or you're just lazy.",false dilemma
"Some teachers assign weekend homework, so either you want smart kids or no weekends.",false dilemma
"My neighbor has never traveled abroad, so either he's totally unworldly or a shut-in.",false dilemma
"Most children enjoy playing outside, so either you let kids roam or you're stifling them.",false dilemma
"Jon has cooked steak like a pro, so either he becomes a chef or he's wasting his life.",false dilemma
"Crypto prices fluctuate wildly, so you either become rich or lose everything.",false dilemma
"The sun sets in the west, so you either believe that or deny science entirely.",false dilemma
"Honey never spoils, so either you stockpile it or risk wasting food forever.",false dilemma
"Time heals emotional wounds, so either you wait or you’ll never heal.",false dilemma
"The Great Wall is visible from space, so either you’re amazed or you're just ignorant.",false dilemma
"Some lawyers are dishonest, so either you avoid them all or get betrayed.",false dilemma
"Most social media is addictive, so you either quit or become a mindless scroll-bot.",false dilemma
"Nothing travels faster than light, so either you accept physics or believe in fairy tales.",false dilemma
"Nobody enjoys waiting in traffic, so either take public transit or stay home.",false dilemma
"Some dogs detect seizures, so either you get a dog or risk your life.",false dilemma
"Not all electric cars are green, so either drive gas or give up transportation.",false dilemma
"Einstein developed relativity, so either you believe his theories or reject all science.",false dilemma
"Every continent has faced climate change, so either we panic or ignore the planet.",false dilemma
"Bananas contain potassium, so either eat them or risk deficiency.",false dilemma
"The internet came before smartphones, so either go offline or use only old tech.",false dilemma
"No reptiles produce milk, so either they’re not animals or they’re just aliens.",false dilemma
"Most airplanes fly above 30,000 feet, so either you're safe or doomed.",false dilemma
"Some people believe in aliens, so either we’re not alone or everyone’s delusional.",false dilemma
Chocolate truffles are loaded with calories. But did you know the company that makes them donates to charity?,fallacy of relevance
"Melatonin helps relieve jet lag. Anyway, it comes in a cute little bottle.",fallacy of relevance
Not all political candidates are truthful. But one of them has a great smile.,fallacy of relevance
"Some spouses have been unfaithful. But love is complicated, and weddings are expensive.",fallacy of relevance
Naomi Osaka plays tennis. But she also wears really nice outfits on court.,fallacy of relevance
"All film stars are celebrities. And speaking of celebrities, have you heard about their new fashion line?",fallacy of relevance
Some film stars are men. But the movie industry has really good popcorn.,fallacy of relevance
Tortured prisoners will say anything. But think about how many wars we’ve won.,fallacy of relevance
"All mammals have hearts. Speaking of hearts, Valentine's Day is coming up.",fallacy of relevance
Some books are written by AI. But AI can also play chess and compose music.,fallacy of relevance
"Every Olympic athlete trains daily. But remember, sports bring people together.",fallacy of relevance
Some teachers assign weekend homework. But students should be grateful for education.,fallacy of relevance
My neighbor has never traveled abroad. But his lawn is always neatly trimmed.,fallacy of relevance
Most children enjoy playing outside. But did you know playgrounds are expensive to maintain?,fallacy of relevance
Jon has cooked restaurant-quality steak. But he also volunteers at the animal shelter.,fallacy of relevance
"Cryptocurrency prices fluctuate wildly. But you have to admit, the logos look cool.",fallacy of relevance
The sun sets in the west. But sunsets look beautiful from anywhere.,fallacy of relevance
"Honey never spoils. Besides, it’s made by hardworking bees.",fallacy of relevance
"Many believe time helps recovery. But calendars are often wrong, so who knows.",fallacy of relevance
"The Great Wall is visible from space. But so are satellites, which are much smaller.",fallacy of relevance
"Some lawyers are dishonest. But they pass the bar exam, so they must be smart.",fallacy of relevance
Most social media is addictive. But it helps people share birthday wishes.,fallacy of relevance
Nothing travels faster than light. But my Wi-Fi has been pretty fast lately.,fallacy of relevance
Nobody enjoys traffic. But roads look great after it rains.,fallacy of relevance
Some dogs detect seizures. But cats are more independent.,fallacy of relevance
Not all electric cars are green. But they come in fun colors.,fallacy of relevance
Einstein developed relativity. But he also had wild hair.,fallacy of relevance
Every continent has faced climate change. But penguins are still cute.,fallacy of relevance
Bananas contain potassium. But they’re also very easy to peel.,fallacy of relevance
The internet came before smartphones. But smartphones have better games.,fallacy of relevance
No reptiles produce milk. But they’re really good at hiding.,fallacy of relevance
"Most airplanes fly above 30,000 feet. But the snack service is what really matters.",fallacy of relevance
Some people believe in extraterrestrials. But crop circles look really artistic.,fallacy of relevance
"Chocolate truffles are high in calories, but only a fool would avoid them completely.",ad hominem
"Melatonin helps with jet lag, but you clearly have no idea what you're talking about if you think natural remedies work.",ad hominem
"Not all political candidates are truthful, but you’re too naive to understand how politics works.",ad hominem
"Some spouses have been unfaithful, but only bitter people bring that up.",ad hominem
"Naomi Osaka plays tennis, but people who watch tennis are just elitist snobs.",ad hominem
"All film stars are celebrities, but anyone who likes celebrities must be shallow.",ad hominem
"Some film stars are men, but coming from someone who doesn’t even watch movies, that argument means nothing.",ad hominem
"Tortured prisoners say anything, but of course you’d disagree—you’ve never been in a real conflict zone.",ad hominem
"All mammals have hearts, but that’s just basic science you probably failed in school.",ad hominem
"Some books are written by AI, but only tech-obsessed nerds care about that.",ad hominem
"Every Olympic athlete trains daily, but if you think that matters, you clearly don’t understand real discipline.",ad hominem
"Some teachers assign weekend homework, but you just hate education if you’re complaining.",ad hominem
"My neighbor has never traveled abroad, but he’s ignorant anyway, so that doesn’t surprise me.",ad hominem
"Most children enjoy playing outside, but only helicopter parents would disagree.",ad hominem
"Jon has cooked steak like a pro, but he’s always showing off anyway.",ad hominem
"Crypto fluctuates wildly, but you wouldn’t understand—it’s too advanced for someone like you.",ad hominem
"The sun sets in the west, but only a complete moron would think that matters to this argument.",ad hominem
"Honey never spoils, but only conspiracy theorists talk about food longevity like that.",ad hominem
"Time heals emotional wounds, but you wouldn’t get it—you’re emotionally stunted.",ad hominem
"The Great Wall is visible from space, but only a gullible person would believe that old myth.",ad hominem
"Some lawyers are dishonest, but you hate lawyers only because you lost a case.",ad hominem
"Most social media is addictive, but you’re just jealous because you don’t have any followers.",ad hominem
"Nothing travels faster than light, but science deniers like you wouldn’t know that.",ad hominem
"Nobody enjoys traffic, but you seem to enjoy whining more than solving problems.",ad hominem
"Some dogs detect seizures, but of course you’d argue against that—you hate animals.",ad hominem
"Not all electric cars are green, but coming from someone who drives a gas guzzler, your opinion is irrelevant.",ad hominem
"Einstein developed relativity, but you probably never even finished high school science.",ad hominem
"Every continent has experienced climate change, but climate change deniers like you don’t understand evidence.",ad hominem
"Bananas contain potassium, but you can’t even spell potassium correctly.",ad hominem
"The internet came before smartphones, but old people always cling to the past.",ad hominem
"No reptiles produce milk, but you probably think lizards are mammals.",ad hominem
"Most planes fly above 30,000 feet, but you’ve never flown in one, so how would you know?",ad hominem
"Some people believe in aliens, but people like you will believe anything on the internet.",ad hominem
Chocolate truffles are loaded with calories. Just imagine how ashamed you'll feel if your clothes stop fitting.,appeal to emotion
Melatonin helps relieve jet lag. Think of how miserable and exhausted you'll be if you don’t take it.,appeal to emotion
Not all political candidates are truthful. Don’t you feel betrayed just thinking about how they lie to us?,appeal to emotion
Some spouses have been unfaithful. Don’t you feel heartbroken thinking about how marriage can be ruined like that?,appeal to emotion
Naomi Osaka plays professional tennis. Don’t you want to support her? She’s gone through so much.,appeal to emotion
All film stars are celebrities. Imagine how crushed they’d be if people stopped caring about them.,appeal to emotion
Some film stars are men. Doesn’t it make you angry that we even have to mention that?,appeal to emotion
Tortured prisoners will say anything. Imagine the unbearable pain they must be going through.,appeal to emotion
All mammals have hearts. Isn’t it beautiful how we all share something so essential?,appeal to emotion
Some books are written by AI. Doesn’t it scare you that machines are replacing human creativity?,appeal to emotion
Every Olympic athlete trains daily. Don’t you feel lazy now?,appeal to emotion
Some teachers assign weekend homework. Isn’t it cruel to ruin a child’s weekend like that?,appeal to emotion
My neighbor has never traveled abroad. Don’t you feel sorry for someone who’s never seen the world?,appeal to emotion
Most children enjoy playing outside. Wouldn’t it be tragic to deny them that joy?,appeal to emotion
Jon has cooked restaurant-quality steak. Wouldn’t it be rude not to compliment him?,appeal to emotion
Cryptocurrency prices fluctuate wildly. Imagine how terrified investors must be.,appeal to emotion
The sun sets in the west. Isn’t it poetic how nature just knows what to do?,appeal to emotion
Honey never spoils. Isn’t it comforting to know that some things last forever?,appeal to emotion
Many believe time heals emotional wounds. Don’t you want to believe that pain doesn’t last forever?,appeal to emotion
The Great Wall of China is visible from space. Don’t you feel amazed by how incredible humans can be?,appeal to emotion
Some lawyers have been dishonest. Don’t you feel angry that justice can be corrupted?,appeal to emotion
Most social media platforms are addictive. Think about the poor kids wasting their lives.,appeal to emotion
Nothing can travel faster than light. Doesn’t that make you feel insignificant?,appeal to emotion
Nobody enjoys waiting in traffic. Isn’t it frustrating just thinking about it?,appeal to emotion
Some dogs detect seizures. Wouldn’t you feel safer with one around?,appeal to emotion
Not all electric cars are environmentally friendly. Doesn’t it make you feel lied to by green companies?,appeal to emotion
Albert Einstein developed relativity. Don’t you admire his genius and feel humbled?,appeal to emotion
Every continent has experienced climate change. Don’t you worry about the future of your children?,appeal to emotion
Bananas contain potassium. Wouldn’t it be tragic if people didn’t know that and got sick?,appeal to emotion
The internet was invented before smartphones. Doesn’t it feel like everything is moving too fast?,appeal to emotion
No reptiles produce milk. Isn’t it weird and unsettling how different they are?,appeal to emotion
"Most modern airplanes can fly above 30,000 feet. Don’t you feel uneasy flying that high?",appeal to emotion
Some people believe in extraterrestrial life. Isn’t that exciting—and just a little bit scary?,appeal to emotion
"Chocolate truffles are loaded with calories, so eating one is basically the same as eating a bucket of lard.",fallacy of extension
"Melatonin helps with jet lag, so clearly it's a miracle cure for all sleep problems.",fallacy of extension
"Some political candidates are dishonest, so politics is just legalized lying.",fallacy of extension
"Some spouses have been unfaithful, so marriage is just a failed institution.",fallacy of extension
"Naomi Osaka plays tennis, so anyone who likes her must be obsessed with sports.",fallacy of extension
"All film stars are celebrities, so clearly everyone in Hollywood is self-absorbed and fake.",fallacy of extension
"Some film stars are men, so obviously men are taking over the entire industry.",fallacy of extension
"Tortured prisoners will say anything, so every confession ever made under pressure is a complete lie.",fallacy of extension
"All mammals have hearts, so if something doesn’t have a heart, it can’t be alive.",fallacy of extension
"Some books are written by AI, so soon there’ll be no reason to read anything at all.",fallacy of extension
"Olympic athletes train daily, so if you don’t, you must not care about your health at all.",fallacy of extension
"Some teachers give weekend homework, so clearly they want students to have no life.",fallacy of extension
"My neighbor hasn’t traveled abroad, so he must be ignorant of everything beyond his town.",fallacy of extension
"Most children enjoy playing outside, so indoor kids are clearly unhealthy and antisocial.",fallacy of extension
"Jon has cooked steak like a chef, so he should probably open a restaurant.",fallacy of extension
"Crypto prices fluctuate wildly, so investing in crypto is like setting your money on fire.",fallacy of extension
"The sun sets in the west, so the east must be completely dark all the time.",fallacy of extension
"Honey never spoils, so you might as well live on honey forever.",fallacy of extension
"Time heals emotional wounds, so there's no need for therapy or support.",fallacy of extension
"The Great Wall is visible from space, so you could probably see your house from the moon.",fallacy of extension
"Some lawyers are dishonest, so you can’t trust any legal advice.",fallacy of extension
"Most social media is addictive, so anyone with a phone is a mindless zombie.",fallacy of extension
"Nothing travels faster than light, so faster-than-light fiction is totally worthless.",fallacy of extension
"Nobody likes traffic, so we should ban cars altogether.",fallacy of extension
"Some dogs detect seizures, so all dogs should be trained as medical professionals.",fallacy of extension
"Not all electric cars are green, so green tech is just one big scam.",fallacy of extension
"Einstein developed relativity, so he must have known everything about everything.",fallacy of extension
"Every continent has experienced climate change, so there’s nothing left to save.",fallacy of extension
"Bananas contain potassium, so if you’re low on energy, just eat bananas nonstop.",fallacy of extension
"The internet came before smartphones, so smartphones are just a useless add-on.",fallacy of extension
"No reptiles produce milk, so they’re nothing like “real” animals.",fallacy of extension
"Most planes fly above 30,000 feet, so flying lower must be incredibly unsafe.",fallacy of extension
"Some people believe in aliens, so we’re clearly being watched and manipulated.",fallacy of extension
Chocolate truffles are loaded with calories—just ask any celebrity nutritionist.,fallacy of credibility
Melatonin helps with jet lag. A famous athlete swears by it.,fallacy of credibility
Not all political candidates are truthful. Even my uncle who works in politics says so.,fallacy of credibility
Some spouses have been unfaithful. Dr. Phil says it’s a widespread problem.,fallacy of credibility
"Naomi Osaka plays tennis. Serena Williams said she's a true pro, so she must be.",fallacy of credibility
All film stars are celebrities. The Academy Awards confirm their importance.,fallacy of credibility
"Some film stars are men. An article in Men’s Health said it, so it’s true.",fallacy of credibility
Tortured prisoners will say anything—top intelligence agencies agree.,fallacy of credibility
All mammals have hearts. It’s in every biology textbook.,fallacy of credibility
Some books are written by AI. Elon Musk even warned about AI taking over.,fallacy of credibility
Every Olympic athlete trains daily. My coach told me that's how champions are made.,fallacy of credibility
Some teachers assign weekend homework. The PTA newsletter complained about it.,fallacy of credibility
My neighbor hasn’t traveled abroad. A travel blogger once said that’s a sign of cultural ignorance.,fallacy of credibility
Most children enjoy playing outside. Pediatricians say it’s essential for development.,fallacy of credibility
Jon’s steak is restaurant-quality. A food critic confirmed it.,fallacy of credibility
Cryptocurrency prices fluctuate. CNBC reported the same thing last night.,fallacy of credibility
The sun sets in the west. Every science teacher says so.,fallacy of credibility
Honey never spoils. The FDA even recognizes its longevity.,fallacy of credibility
Time heals emotional wounds. Oprah said it helped her.,fallacy of credibility
The Great Wall is visible from space—Neil Armstrong supposedly confirmed it.,fallacy of credibility
Some lawyers are dishonest. A judge once admitted it on camera.,fallacy of credibility
Most social media is addictive. The Surgeon General issued a warning.,fallacy of credibility
Nothing travels faster than light. Einstein proved it.,fallacy of credibility
Nobody enjoys traffic. The mayor even admitted it’s a problem.,fallacy of credibility
Some dogs detect seizures. A certified trainer says they’re life-saving.,fallacy of credibility
Not all electric cars are eco-friendly. Even Tesla has critics.,fallacy of credibility
Einstein developed relativity. Physicists still cite his work.,fallacy of credibility
Every continent has faced climate change. The UN reports confirm this.,fallacy of credibility
Bananas contain potassium. Nutrition labels prove it.,fallacy of credibility
The internet was invented before smartphones. Wikipedia says so.,fallacy of credibility
No reptiles produce milk. Every biology professor agrees.,fallacy of credibility
"Most airplanes fly above 30,000 feet. The FAA recommends it.",fallacy of credibility
Some people believe in aliens. Even some astronauts have said so.,fallacy of credibility
"Chocolate truffles are high in calories, and I know you care about your health—so you obviously agree they’re bad.",intentional fallacy
"Melatonin works for me, so clearly it’s the best solution for everyone.",intentional fallacy
Not all political candidates are honest—just ask anyone who’s ever voted.,intentional fallacy
"Some spouses cheat, and I’ve seen enough to know that’s all we need to say.",intentional fallacy
"Naomi Osaka is a pro, so clearly tennis is the only sport worth watching.",intentional fallacy
"Film stars are celebrities, and that proves they’re better than regular people.",intentional fallacy
"Some film stars are men, which means gender equity in Hollywood is solved.",intentional fallacy
"Tortured prisoners say anything—everyone knows that, so case closed.",intentional fallacy
"All mammals have hearts, and you don’t need a science degree to understand that.",intentional fallacy
Some books are written by AI. That’s all the proof we need that AI is taking over everything.,intentional fallacy
"Olympic athletes train daily, which proves daily training is the only path to success.",intentional fallacy
Some teachers assign weekend homework. That’s clearly why students are stressed.,intentional fallacy
"My neighbor has never traveled abroad, and if that doesn’t make him uncultured, I don’t know what does.",intentional fallacy
"Kids enjoy playing outside—so you obviously care about their well-being, right?",intentional fallacy
"Jon’s steak is restaurant-quality, and saying otherwise is just jealousy.",intentional fallacy
"Crypto fluctuates wildly. You wouldn’t want to lose money, would you?",intentional fallacy
The sun sets in the west—don’t try to overcomplicate it.,intentional fallacy
"Honey never spoils, and that’s all you need to know about natural foods.",intentional fallacy
Time heals emotional wounds—why keep analyzing it?,intentional fallacy
"The Great Wall is visible from space—if you don’t believe that, you’re missing the point.",intentional fallacy
Some lawyers are dishonest. That should make you rethink everything.,intentional fallacy
"Most social media is addictive. If you care about society, you’ll agree.",intentional fallacy
Nothing’s faster than light. Stop overthinking it.,intentional fallacy
"Nobody enjoys traffic, so let’s stop pretending it’s not a problem.",intentional fallacy
Some dogs detect seizures. That alone makes them more useful than most people.,intentional fallacy
Not all electric cars are green—just admit it already.,intentional fallacy
Einstein developed relativity. Argue with that and you’re denying facts.,intentional fallacy
"Every continent has faced climate change. So obviously, it’s real.",intentional fallacy
Bananas contain potassium—do we really need a whole debate on that?,intentional fallacy
The internet came before smartphones. That’s basic knowledge.,intentional fallacy
"No reptiles produce milk—come on, that’s not even controversial.",intentional fallacy
"Most airplanes fly above 30,000 feet—what else do you need to know?",intentional fallacy
"People believe in aliens, and if they’re wrong, why hasn’t anyone proven it?",intentional fallacy
"Chocolate truffles are loaded with calories. Therefore, anything with calories must be a truffle.",deductive fallacy
"Melatonin helps jet lag. I’m not jet lagged, so melatonin must not help me sleep.",deductive fallacy
"Not all political candidates are truthful. So, if someone is truthful, they can’t be a political candidate.",deductive fallacy
"Some spouses have been unfaithful. Therefore, if you're faithful, you're not a spouse.",deductive fallacy
"Naomi Osaka plays tennis. So, everyone who plays tennis is Naomi Osaka.",deductive fallacy
"All film stars are celebrities. Therefore, all celebrities must be film stars.",deductive fallacy
"Some film stars are men. Therefore, if you're not a man, you're not a film star.",deductive fallacy
"Tortured prisoners will say anything. Therefore, anything said must be by a tortured prisoner.",deductive fallacy
"All mammals have hearts. Therefore, anything with a heart must be a mammal.",deductive fallacy
"Some books are written by AI. So if a book is written well, it must be AI.",deductive fallacy
"Every Olympic athlete trains daily. I train daily, so I must be an Olympic athlete.",deductive fallacy
"Some teachers assign weekend homework. So if I have no homework, I must not have a teacher.",deductive fallacy
"My neighbor has never traveled abroad. So if you’ve traveled, you can’t be my neighbor.",deductive fallacy
"Most children enjoy playing outside. Therefore, anyone who doesn’t is not a child.",deductive fallacy
"Jon has cooked steak like a chef. Therefore, all chefs must be named Jon.",deductive fallacy
"Crypto fluctuates wildly. Therefore, any fluctuating asset must be crypto.",deductive fallacy
"The sun sets in the west. If the sun doesn’t set in the west, it must not be the sun.",deductive fallacy
"Honey never spoils. This food spoiled, so it can't be honey.",deductive fallacy
"Many believe time heals. If something isn’t healing, time must not exist.",deductive fallacy
"The Great Wall is visible from space. This object isn’t, so it can’t be great.",deductive fallacy
"Some lawyers are dishonest. Therefore, if you're honest, you're not a lawyer.",deductive fallacy
"Most social media is addictive. So if it’s not addictive, it’s not social media.",deductive fallacy
"Nothing travels faster than light. This moved faster, so it must not exist.",deductive fallacy
"Nobody enjoys traffic. So if someone enjoys it, they must not be a person.",deductive fallacy
"Some dogs detect seizures. Therefore, if a dog can't, it must not be a real dog.",deductive fallacy
"Not all electric cars are green. So if it’s green, it’s not electric.",deductive fallacy
"Einstein developed relativity. So if someone didn’t, they’re not Einstein.",deductive fallacy
"Every continent has faced climate change. This place hasn’t, so it’s not a continent.",deductive fallacy
"Bananas contain potassium. So if it has potassium, it must be a banana.",deductive fallacy
"The internet came before smartphones. If something came after, it must be a smartphone.",deductive fallacy
"No reptiles produce milk. This animal produces milk, so it can't be a reptile.",deductive fallacy
"Most planes fly high. This one doesn’t, so it must not be a plane.",deductive fallacy
"Some people believe in aliens. So if you don’t, you’re not a person.",deductive fallacy
